Gene ID,Fold Change
200810_s_at,-2.00E+00
200058_s_at,-2.00E+00
211375_s_at,-2.00E+00
36936_at,-2.00E+00
202054_s_at,-2.00E+00
208638_at,-2.00E+00
202122_s_at,-2.00E+00
204041_at,-2.00E+00
201222_s_at,-2.00E+00
218220_at,-2.00E+00
202798_at,-2.00E+00
212716_s_at,-2.00E+00
208736_at,-2.00E+00
202097_at,-2.00E+00
212449_s_at,-2.00E+00
204606_at,-2.00E+00
214435_x_at,-2.00E+00
221669_s_at,-2.00E+00
201823_s_at,-2.00E+00
203453_at,-2.00E+00
212410_at,-2.00E+00
202337_at,-2.00E+00
201286_at,-2.00E+00
212870_at,-2.00E+00
209907_s_at,-2.00E+00
214599_at,-2.00E+00
212586_at,-2.00E+00
201675_at,-2.00E+00
202777_at,-2.00E+00
200655_s_at,-2.00E+00
208852_s_at,-2.00E+00
201746_at,-2.00E+00
213743_at,-2.00E+00
202838_at,-2.00E+00
211941_s_at,-2.00E+00
203704_s_at,-2.00E+00
201443_s_at,-2.00E+00
201681_s_at,-2.00E+00
201200_at,-2.00E+00
219488_at,-2.00E+00
203531_at,-2.00E+00
201029_s_at,-2.00E+00
208335_s_at,-2.00E+00
205480_s_at,-2.00E+00
203824_at,-2.00E+00
219727_at,-2.00E+00
204031_s_at,-2.00E+00
209042_s_at,-2.00E+00
208771_s_at,-2.00E+00
218192_at,-2.00E+00
203887_s_at,-2.00E+00
221519_at,-2.00E+00
204544_at,-2.00E+00
200036_s_at,-2.00E+00
203310_at,-2.00E+00
216032_s_at,-2.00E+00
202697_at,-2.00E+00
208074_s_at,-2.00E+00
206592_s_at,-2.00E+00
205464_at,-2.00E+00
217427_s_at,-2.00E+00
212895_s_at,-2.00E+00
203120_at,-2.00E+00
204168_at,-2.00E+00
203074_at,-2.00E+00
204446_s_at,-2.00E+00
212588_at,-2.00E+00
200015_s_at,-2.00E+00
200636_s_at,-1.90E+00
211474_s_at,-1.90E+00
205423_at,-1.90E+00
201244_s_at,-1.90E+00
200075_s_at,-1.90E+00
213892_s_at,-1.90E+00
217882_at,-1.90E+00
202227_s_at,-1.90E+00
203851_at,-1.90E+00
204069_at,-1.90E+00
201102_s_at,-1.90E+00
205559_s_at,-1.90E+00
218216_x_at,-1.90E+00
201015_s_at,-1.90E+00
210085_s_at,-1.90E+00
218319_at,-1.90E+00
200858_s_at,-1.90E+00
204937_s_at,-1.90E+00
202484_s_at,-1.90E+00
209146_at,-1.90E+00
202930_s_at,-1.90E+00
207720_at,-1.90E+00
203218_at,-1.90E+00
200643_at,-1.90E+00
201349_at,-1.90E+00
221776_s_at,-1.90E+00
217840_at,-1.90E+00
218343_s_at,-1.90E+00
209310_s_at,-1.90E+00
208961_s_at,-1.90E+00
200929_at,-1.90E+00
210406_s_at,-1.90E+00
205809_s_at,-1.90E+00
217747_s_at,-1.90E+00
212160_at,-1.90E+00
217860_at,-1.90E+00
204523_at,-1.90E+00
201353_s_at,-1.90E+00
213655_at,-1.90E+00
205485_at,-1.90E+00
201146_at,-1.90E+00
221499_s_at,-1.90E+00
201052_s_at,-1.90E+00
218013_x_at,-1.90E+00
208925_at,-1.90E+00
202154_x_at,-1.90E+00
212671_s_at,-1.90E+00
217846_at,-1.90E+00
200964_at,-1.90E+00
209205_s_at,-1.90E+00
200911_s_at,-1.90E+00
200823_x_at,-1.90E+00
211848_s_at,-1.90E+00
211475_s_at,-1.90E+00
209732_at,-1.90E+00
202111_at,-1.90E+00
204725_s_at,-1.90E+00
201288_at,-1.90E+00
200902_at,-1.90E+00
218797_s_at,-1.90E+00
221989_at,-1.90E+00
208978_at,-1.90E+00
203358_s_at,-1.90E+00
202325_s_at,-1.90E+00
201527_at,-1.90E+00
213883_s_at,-1.90E+00
218626_at,-1.90E+00
204326_x_at,-1.80E+00
209610_s_at,-1.80E+00
211423_s_at,-1.80E+00
203938_s_at,-1.80E+00
208886_at,-1.80E+00
203573_s_at,-1.80E+00
202441_at,-1.80E+00
218423_x_at,-1.80E+00
202174_s_at,-1.80E+00
209792_s_at,-1.80E+00
205132_at,-1.80E+00
203080_s_at,-1.80E+00
210978_s_at,-1.80E+00
206125_s_at,-1.80E+00
202346_at,-1.80E+00
206953_s_at,-1.80E+00
209576_at,-1.80E+00
204540_at,-1.80E+00
221564_at,-1.80E+00
203306_s_at,-1.80E+00
209369_at,-1.80E+00
221269_s_at,-1.80E+00
222138_s_at,-1.80E+00
201276_at,-1.80E+00
200832_s_at,-1.80E+00
205990_s_at,-1.80E+00
204341_at,-1.80E+00
210944_s_at,-1.80E+00
220066_at,-1.80E+00
203429_s_at,-1.80E+00
209082_s_at,-1.80E+00
209193_at,-1.80E+00
206765_at,-1.80E+00
202286_s_at,-1.80E+00
203467_at,-1.80E+00
203132_at,-1.80E+00
204963_at,-1.80E+00
214167_s_at,-1.80E+00
200869_at,-1.80E+00
206698_at,-1.80E+00
205552_s_at,-1.80E+00
221215_s_at,-1.80E+00
212266_s_at,-1.80E+00
201078_at,-1.80E+00
207974_s_at,-1.80E+00
202712_s_at,-1.80E+00
200666_s_at,-1.80E+00
200686_s_at,-1.80E+00
202222_s_at,-1.80E+00
212191_x_at,-1.80E+00
200595_s_at,-1.80E+00
201193_at,-1.80E+00
204995_at,-1.80E+00
206400_at,-1.80E+00
200044_at,-1.80E+00
201531_at,-1.80E+00
204147_s_at,-1.80E+00
207507_s_at,-1.80E+00
220782_x_at,-1.80E+00
35666_at,-1.80E+00
203804_s_at,-1.80E+00
200862_at,-1.80E+00
208623_s_at,-1.80E+00
213318_s_at,-1.80E+00
204368_at,-1.80E+00
204257_at,-1.80E+00
204022_at,-1.80E+00
209692_at,-1.80E+00
211503_s_at,-1.80E+00
200942_s_at,-1.80E+00
206200_s_at,-1.80E+00
216841_s_at,-1.80E+00
209094_at,-1.80E+00
204313_s_at,-1.80E+00
220189_s_at,-1.80E+00
218589_at,-1.80E+00
208949_s_at,-1.80E+00
208818_s_at,-1.80E+00
218313_s_at,-1.70E+00
202551_s_at,-1.70E+00
204733_at,-1.70E+00
212531_at,-1.70E+00
209159_s_at,-1.70E+00
204975_at,-1.70E+00
218228_s_at,-1.70E+00
202502_at,-1.70E+00
201210_at,-1.70E+00
202428_x_at,-1.70E+00
201140_s_at,-1.70E+00
214581_x_at,-1.70E+00
205140_at,-1.70E+00
202688_at,-1.70E+00
202421_at,-1.70E+00
206156_at,-1.70E+00
210058_at,-1.70E+00
219630_at,-1.70E+00
201899_s_at,-1.70E+00
209873_s_at,-1.70E+00
213762_x_at,-1.70E+00
202807_s_at,-1.70E+00
208644_at,-1.70E+00
210608_s_at,-1.70E+00
207525_s_at,-1.70E+00
201924_at,-1.70E+00
209046_s_at,-1.70E+00
201563_at,-1.70E+00
200000_s_at,-1.70E+00
211538_s_at,-1.70E+00
202658_at,-1.70E+00
210397_at,-1.70E+00
202967_at,-1.70E+00
202296_s_at,-1.70E+00
210051_at,-1.70E+00
207030_s_at,-1.70E+00
208819_at,-1.70E+00
218544_s_at,-1.70E+00
209190_s_at,-1.70E+00
211168_s_at,-1.70E+00
202829_s_at,-1.70E+00
201455_s_at,-1.70E+00
219511_s_at,-1.70E+00
213229_at,-1.70E+00
212519_at,-1.70E+00
218603_at,-1.70E+00
200726_at,-1.60E+00
212136_at,-1.60E+00
201005_at,-1.60E+00
201375_s_at,-1.60E+00
201384_s_at,-1.60E+00
217746_s_at,-1.60E+00
202565_s_at,-1.60E+00
205904_at,-1.60E+00
215193_x_at,-1.60E+00
201322_at,-1.60E+00
211939_x_at,-1.60E+00
218231_at,-1.60E+00
212517_at,-1.60E+00
202215_s_at,-1.60E+00
200828_s_at,-1.60E+00
206170_at,-1.60E+00
211509_s_at,-1.60E+00
202085_at,-1.60E+00
201887_at,-1.60E+00
201734_at,-1.60E+00
209089_at,-1.60E+00
35436_at,-1.60E+00
206050_s_at,-1.60E+00
201212_at,-1.60E+00
208270_s_at,-1.60E+00
204363_at,-1.50E+00
200660_at,-1.50E+00
214198_s_at,-1.50E+00
213738_s_at,-1.50E+00
213803_at,-1.50E+00
207922_s_at,-1.50E+00
200033_at,-1.50E+00
